number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
11,4,3eac5d188f2f8f0dd5bc96e9af04c0562f934daf,135bc5f62e5ff27e418249b1064044b87de00578,55a61f21e35938af028725aadce5fee43c1df868,2016-12-20 15:45:05,2016-12-21 06:56:08,soutaro,https://github.com/sider/catpost/compare/135bc5f62e5ff27e418249b1064044b87de00578...55a61f21e35938af028725aadce5fee43c1df868.diff
12,1,3eac5d188f2f8f0dd5bc96e9af04c0562f934daf,ce9aba379a30e3f77e6f52243d224321880b4670,ce9aba379a30e3f77e6f52243d224321880b4670,2016-12-20 18:37:57,2016-12-21 07:01:15,soutaro,https://github.com/sider/catpost/compare/ce9aba379a30e3f77e6f52243d224321880b4670...ce9aba379a30e3f77e6f52243d224321880b4670.diff
13,2,c4a5c0bb9752f30ae857bc1f75dbed54b0a4a035,2bf81ef42afed02ecad9c755483fb394b6043cb9,0a45c055c49052048fd8fc9cef80559b660533e8,2016-12-21 15:24:51,2016-12-22 17:41:07,soutaro,https://github.com/sider/catpost/compare/2bf81ef42afed02ecad9c755483fb394b6043cb9...0a45c055c49052048fd8fc9cef80559b660533e8.diff
14,2,c4a5c0bb9752f30ae857bc1f75dbed54b0a4a035,7336528ee8d696dae4b44b9a7f194a66301e6350,c609ece94d58d757eb64f487c103b9064c893f4c,2016-12-22 17:38:45,2016-12-23 12:41:20,soutaro,https://github.com/sider/catpost/compare/7336528ee8d696dae4b44b9a7f194a66301e6350...c609ece94d58d757eb64f487c103b9064c893f4c.diff
15,1,64d728b97358f2932020edd985986d8c7153ae78,d1c297bff11da154e3d00dfc3df187034382ceda,d1c297bff11da154e3d00dfc3df187034382ceda,2016-12-23 12:47:43,2016-12-26 04:47:15,soutaro,https://github.com/sider/catpost/compare/d1c297bff11da154e3d00dfc3df187034382ceda...d1c297bff11da154e3d00dfc3df187034382ceda.diff
16,4,53a6f32eb4a6ece13f7f3197922640474cb4fc0e,56dc8e7f77f2cbcb3eb96315f5b093111ea8d978,5af69c6d82a949148fd1e92f14357650f7468123,2017-01-17 16:04:50,2017-01-19 09:42:16,soutaro,https://github.com/sider/catpost/compare/56dc8e7f77f2cbcb3eb96315f5b093111ea8d978...5af69c6d82a949148fd1e92f14357650f7468123.diff
17,8,0ef74e2f149340d7b2ed594f6b9b995adef64686,449a244559dedf203a6624de30c64cd08d5713d6,314b61db1997c789ce42468c85a0b1d245ee172c,2017-01-23 11:59:31,2017-01-25 06:12:29,soutaro,https://github.com/sider/catpost/compare/449a244559dedf203a6624de30c64cd08d5713d6...314b61db1997c789ce42468c85a0b1d245ee172c.diff
18,2,bcafa1d94467198c93cafd8722274cfbd8bde654,b980f8cf953a71fc814c752383827fff1837939e,8459182873af87e3c8d4a26f08f8005df7f04dee,2017-01-26 05:56:53,2017-01-26 07:36:34,soutaro,https://github.com/sider/catpost/compare/b980f8cf953a71fc814c752383827fff1837939e...8459182873af87e3c8d4a26f08f8005df7f04dee.diff
19,6,9391ae93575e8b4d3e673720194d2668d482daca,d6b820b601fc7901e7001dd28d938ded3b54fb91,7b2424b5e88d43bc3d3fd1c022bc6da5bbe19ba8,2017-02-01 14:22:04,2017-02-02 06:26:33,soutaro,https://github.com/sider/catpost/compare/d6b820b601fc7901e7001dd28d938ded3b54fb91...7b2424b5e88d43bc3d3fd1c022bc6da5bbe19ba8.diff
20,1,95f43989e93cc26681aa340802653552b270d825,d704e99d3cc4e2bd7dd4b8b179d2fee200750984,d704e99d3cc4e2bd7dd4b8b179d2fee200750984,2017-02-02 23:16:43,2017-02-03 02:27:51,soutaro,https://github.com/sider/catpost/compare/d704e99d3cc4e2bd7dd4b8b179d2fee200750984...d704e99d3cc4e2bd7dd4b8b179d2fee200750984.diff
21,1,4acf58a2ce9882c0fb7fcd5a076ee16a3dde9bc0,dccb53b4dcb7352eee18b31692d12bb679d4ccdc,dccb53b4dcb7352eee18b31692d12bb679d4ccdc,2017-02-03 08:03:48,2017-02-06 06:26:20,wata727,https://github.com/sider/catpost/compare/dccb53b4dcb7352eee18b31692d12bb679d4ccdc...dccb53b4dcb7352eee18b31692d12bb679d4ccdc.diff
22,5,5bb58b89bb89d5851f35bca6018051b8925070f5,8dcb5937bf8f13ccc461a48d14adb5acf0136229,0b5aab64d27100562a232a876e372bdc44b74635,2017-02-08 14:39:01,2017-02-10 07:01:04,soutaro,https://github.com/sider/catpost/compare/8dcb5937bf8f13ccc461a48d14adb5acf0136229...0b5aab64d27100562a232a876e372bdc44b74635.diff
23,1,8999258d951510709095497a41e9fb44f54943c3,ce8469296b40cfe339a5aa91e33e74a0bac3ce05,ce8469296b40cfe339a5aa91e33e74a0bac3ce05,2017-04-05 15:08:38,2017-04-10 08:20:21,wata727,https://github.com/sider/catpost/compare/ce8469296b40cfe339a5aa91e33e74a0bac3ce05...ce8469296b40cfe339a5aa91e33e74a0bac3ce05.diff
24,2,8999258d951510709095497a41e9fb44f54943c3,16dc8893224ece2be16e25bf5d074ad5067599ba,f864a30a2411340a870c67d0233ced41bcadc8ef,2017-04-10 06:31:32,2017-04-10 08:32:58,wata727,https://github.com/sider/catpost/compare/16dc8893224ece2be16e25bf5d074ad5067599ba...f864a30a2411340a870c67d0233ced41bcadc8ef.diff
25,3,b4c6810831e1243852fa49f619098d39308af6b4,87e619d90f392471037bf40c63ac5a53c7a8fd40,937a0efb8d8dc53e4a759320c5acc02b4498badd,2017-04-11 06:38:17,2017-04-14 01:33:48,wata727,https://github.com/sider/catpost/compare/87e619d90f392471037bf40c63ac5a53c7a8fd40...937a0efb8d8dc53e4a759320c5acc02b4498badd.diff
26,1,6b9e63f6559450873fba7cea8fe66c9e08f52fd0,d9b789b3fd9c8502e542415fcef982f666bea638,d9b789b3fd9c8502e542415fcef982f666bea638,2017-04-27 08:00:32,2017-04-27 08:04:26,soutaro,https://github.com/sider/catpost/compare/d9b789b3fd9c8502e542415fcef982f666bea638...d9b789b3fd9c8502e542415fcef982f666bea638.diff
27,1,c87389a3efb137e95d4e73225fc5b365f3789e13,662163f08c9d10a8dbb233dfd14d4ac07679810d,662163f08c9d10a8dbb233dfd14d4ac07679810d,2017-05-11 10:27:25,2017-05-11 10:40:12,pocke,https://github.com/sider/catpost/compare/662163f08c9d10a8dbb233dfd14d4ac07679810d...662163f08c9d10a8dbb233dfd14d4ac07679810d.diff
28,1,65097b058fbf15cfc2006fab86f5eb044aa2c37e,859a6a86faab885e9e777d86f01c368a3b778e9e,859a6a86faab885e9e777d86f01c368a3b778e9e,2017-05-12 05:34:29,2017-05-15 07:03:43,pocke,https://github.com/sider/catpost/compare/859a6a86faab885e9e777d86f01c368a3b778e9e...859a6a86faab885e9e777d86f01c368a3b778e9e.diff
29,1,bcc73a728ffac27fe820271f6f671e465b0edace,335a3e606d3544818572afe695790056cd952422,335a3e606d3544818572afe695790056cd952422,2017-06-26 01:04:13,2017-06-27 07:10:30,pocke,https://github.com/sider/catpost/compare/335a3e606d3544818572afe695790056cd952422...335a3e606d3544818572afe695790056cd952422.diff
30,1,bcc73a728ffac27fe820271f6f671e465b0edace,43c7d020ddba614d730fd877a7fba14025e84f2b,43c7d020ddba614d730fd877a7fba14025e84f2b,2017-06-26 05:51:55,2017-06-26 06:04:04,soutaro,https://github.com/sider/catpost/compare/43c7d020ddba614d730fd877a7fba14025e84f2b...43c7d020ddba614d730fd877a7fba14025e84f2b.diff
