number,author,participant,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by
1018,taki,glebm,1,31acbea483821acb726f1b4880d1452aee90367e,ec53b469d71be10ba63cf39d71c96aa50680fbab,ec53b469d71be10ba63cf39d71c96aa50680fbab,2016-02-06 15:48:58,2016-02-06 16:13:07,glebm
1043,robdsoule,cvrebert,1,0a64ad76107e0363e0d504287c0f9b88c6679399,dac866db72d018e94648d197345e750e85f5b66f,dac866db72d018e94648d197345e750e85f5b66f,2016-06-09 20:32:58,2016-06-10 07:09:27,cvrebert
1051,marcofugaro,cvrebert,1,a11455f9db913675107b0029e6d6b70e6954cf44,c20c66386e2c54586eb71b219b7fba01240499a8,c20c66386e2c54586eb71b219b7fba01240499a8,2016-06-23 22:21:25,2016-06-24 06:36:44,cvrebert
1060,weeq,glebm,1,6424fb7c845880ecf56f8ac31be10e35a77f0b59,b1ad78473f9cf2dcf1c6e45c65deb2dacc624d63,b1ad78473f9cf2dcf1c6e45c65deb2dacc624d63,2016-07-22 17:15:46,2016-07-23 22:22:45,glebm
1061,cvrebert,None,1,27e7ac883193b0c7b33792c1244683bc085617a2,882b0d65614b19991265f92b48acbeca373660fd,882b0d65614b19991265f92b48acbeca373660fd,2016-07-24 00:16:03,2016-07-24 01:09:53,cvrebert
1062,cvrebert,glebm,1,d4dc758d9f79661dded7d5ab8a71cef45c9899d9,c76a4452224a85660fcf10594e97cd546140dafb,c76a4452224a85660fcf10594e97cd546140dafb,2016-07-24 01:17:10,2016-07-25 06:13:13,glebm
1063,cvrebert,glebm,1,d4dc758d9f79661dded7d5ab8a71cef45c9899d9,acc6dc4fceac29b7e64c7f69e1c086892a151866,acc6dc4fceac29b7e64c7f69e1c086892a151866,2016-07-24 01:24:24,2016-07-25 06:12:57,glebm
1141,ltfschoen,glebm,1,5d6b2ebba0c2a5885ce2f0e01e9218db3d3b5e47,1ef34115ea7aee67463a906ba371e3b2ce1902cd,1ef34115ea7aee67463a906ba371e3b2ce1902cd,2017-09-28 06:06:52,2017-09-28 08:55:52,glebm
1145,zhublik,glebm,1,9766e0321371e091c8af8251750dc5e7606e0005,b9d2bd4f3851d639d35e85d4369ac7dd05b3720d,b9d2bd4f3851d639d35e85d4369ac7dd05b3720d,2017-11-01 16:04:58,2017-11-01 16:13:03,glebm
1168,coliff,glebm,1,51486a8bd836d32b9f413e911ed83b433ef4ad39,16c5dff320ed0ddc582bfaa1f6c11ab665eb7f13,16c5dff320ed0ddc582bfaa1f6c11ab665eb7f13,2018-08-20 04:51:01,2018-08-20 07:44:25,glebm
